"","cntry","regionde","intewde","regionfr","cedition","cseqno","essround","idno","dweight","pspwght","pweight","tvpol","rdpol","nwsppol","polintr","psppsgv","psppsgva","psppipl","psppipla","polcmpl","contplt","wrkprty","badge","clsprty","prtdgcl","mmbprty","lrscale","trstprl","trstplt","trstprt","trstep","stflife","stfeco","stfgov","stfdem","prtyban","euftf","imdfetn","impcntr","imbgeco","imueclt","imwbcnt","imwbcrm","noimbro","qfimcmt","imptrad","ipstrgv","impsafe","jbscr","optftr","fltanx","nhpftr","lfwrs","uemplwk","acetalv","eduyrs","blue_c","uemp5yr","gndr","agea","vote","vote_rrp","prtvade1","prtvbde1","prtvcde1","prtvdde1","prtvede1","prtvde2","prtvade2","prtvbde2","prtvcde2","prtvdde2","prtvede2","prtvtfr","prtvtafr","prtvtbfr","prtvtcfr","prtclde","prtclade","prtclbde","prtclcde","prtcldde","prtclede","prtclafr","prtclbfr","prtclcfr","prtcldfr","prtclefr","prtmbde","prtmbade","prtmbbde","prtmbcde","prtmbafr","prtmbbfr","prtmbcfr"
"17477","DE",NA,1,NA,1,84352,7,10001131,0.531346194430171,0.307159306763988,2.304125911,2,NA,NA,2,1,NA,1,NA,NA,1,0,0,1,3,NA,6,5,6,4,3,7,6,6,4,NA,8,2,2,5,6,3,2,10,9,4,5,4,NA,5,NA,NA,NA,NA,1,22,0,NA,0,66,1,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17478","DE",NA,2,NA,1,84353,7,10001141,1.2278082920193,1.39373968858975,2.304125911,2,NA,NA,2,0,NA,3,NA,NA,0,0,0,0,NA,NA,5,2,0,1,2,7,3,3,3,NA,2,2,3,4,6,4,5,50,9,3,4,4,NA,5,NA,NA,NA,NA,3,13,1,NA,0,63,1,0,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17479","DE",NA,2,NA,1,84354,7,10001171,1.2278082920193,0.732925519296853,2.304125911,3,NA,NA,2,3,NA,3,NA,NA,0,0,0,1,2,NA,5,3,4,7,4,9,5,5,7,NA,3,3,3,9,7,5,5,20,9,2,NA,4,NA,5,NA,NA,NA,NA,2,10,0,NA,0,68,1,0,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17480","DE",NA,2,NA,1,84355,7,10001181,1.2278082920193,1.51933014933892,2.304125911,1,NA,NA,3,2,NA,2,NA,NA,0,0,0,0,NA,NA,3,3,4,4,7,4,3,NA,5,NA,8,2,2,5,10,9,4,30,7,4,4,5,NA,5,NA,NA,NA,NA,1,21,0,NA,0,44,1,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17481","DE",NA,1,NA,1,84356,7,10001191,0.531346194430171,0.276003095784959,2.304125911,2,NA,NA,2,5,NA,3,NA,NA,0,0,0,1,2,NA,3,5,3,4,5,8,6,5,7,NA,7,1,1,7,7,7,5,5,9,2,2,2,NA,5,NA,NA,NA,NA,1,16,0,NA,0,63,1,0,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17482","DE",NA,2,NA,1,84357,7,10001261,1.2278082920193,1.41030569735798,2.304125911,0,NA,NA,3,2,NA,2,NA,NA,0,0,0,0,NA,NA,NA,3,3,2,3,9,4,5,7,NA,7,2,2,4,6,8,4,3,6,3,4,3,NA,5,NA,NA,NA,NA,1,10,1,NA,0,15,NA,0,NA,NA,NA,NA,66,NA,NA,NA,NA,NA,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17483","DE",NA,2,NA,1,84358,7,10001271,1.2278082920193,1.39373968858975,2.304125911,2,NA,NA,2,0,NA,0,NA,NA,0,0,0,1,3,NA,7,7,0,0,NA,9,5,5,2,NA,3,3,3,5,10,5,0,35,9,3,1,3,NA,5,NA,NA,NA,NA,3,11,0,NA,0,81,1,1,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17484","DE",NA,2,NA,1,84359,7,10001281,1.2278082920193,0.99308064424084,2.304125911,1,NA,NA,3,4,NA,6,NA,NA,0,0,0,1,3,NA,4,9,6,6,8,5,6,NA,7,NA,7,1,1,3,7,5,NA,20,9,2,4,4,NA,5,NA,NA,NA,NA,2,20,0,NA,0,26,0,0,NA,NA,NA,NA,66,NA,NA,NA,NA,NA,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17485","DE",NA,2,NA,1,84360,7,10001301,1.2278082920193,1.09728796014443,2.304125911,2,NA,NA,1,0,NA,0,NA,NA,0,0,0,0,NA,NA,10,4,3,3,2,10,10,5,10,NA,10,1,1,5,5,7,5,40,10,4,4,4,NA,5,NA,NA,NA,NA,1,11,0,NA,0,69,1,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17486","DE",NA,2,NA,1,84361,7,10001351,1.2278082920193,1.27614457923618,2.304125911,2,NA,NA,2,0,NA,0,NA,NA,0,0,0,1,2,NA,7,3,0,0,0,8,4,0,0,NA,8,1,3,9,8,7,8,30,8,3,2,2,NA,5,NA,NA,NA,NA,NA,15,0,NA,1,34,1,0,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17487","DE",NA,2,NA,1,84362,7,10001381,1.2278082920193,1.49326103435167,2.304125911,2,NA,NA,2,2,NA,8,NA,NA,0,0,0,1,2,NA,3,6,3,3,1,7,5,3,4,NA,10,1,1,10,10,10,5,40,7,3,4,3,NA,5,NA,NA,NA,NA,1,10,0,0,1,54,1,0,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
